Instance , WCT_1 , WCT_2 , WCT_3 , WCT_4 , WCT_5 , Avg_RPD
../instances/100_20_01 , 1790921 , 1794890 , 1798173 , 1798512 , 1797695 , 0.219194
../instances/100_20_02 , 1806321 , 1809554 , 1807454 , 1810678 , 1814817 , -0.0494405
../instances/100_20_03 , 1676656 , 1672654 , 1685368 , 1680812 , 1677865 , -0.0719694
../instances/100_20_04 , 1949269 , 1952180 , 1947168 , 1949202 , 1962100 , 0.437555
../instances/100_20_05 , 1541921 , 1541587 , 1537896 , 1542442 , 1543225 , 0.151011
../instances/100_20_06 , 1675412 , 1670656 , 1668631 , 1669928 , 1669690 , 0.622295
../instances/100_20_07 , 1776211 , 1775505 , 1776357 , 1773144 , 1783232 , -0.3751
../instances/100_20_08 , 1763581 , 1762919 , 1755676 , 1759338 , 1760656 , 0.339932
../instances/100_20_09 , 1847325 , 1849361 , 1849543 , 1846938 , 1846295 , -0.231489
../instances/100_20_10 , 1657170 , 1663379 , 1666539 , 1671152 , 1666154 , 0.289675
../instances/100_20_11 , 1830544 , 1827849 , 1825319 , 1831436 , 1822138 , 0.614282
../instances/100_20_12 , 1706196 , 1708623 , 1701058 , 1701713 , 1711020 , -0.344586
../instances/100_20_13 , 1716838 , 1726444 , 1727208 , 1728225 , 1722113 , 0.661805
../instances/100_20_14 , 1716358 , 1721861 , 1713064 , 1721685 , 1717334 , 0.509574
../instances/100_20_15 , 1449663 , 1453974 , 1457967 , 1452428 , 1457293 , 0.353658
../instances/100_20_16 , 1854622 , 1858225 , 1848586 , 1847056 , 1858929 , 0.333651
../instances/100_20_17 , 1771328 , 1778623 , 1775036 , 1769834 , 1770468 , -0.25833
../instances/100_20_18 , 1831148 , 1829495 , 1826112 , 1828563 , 1834407 , 0.325382
../instances/100_20_19 , 1679395 , 1678960 , 1681181 , 1680626 , 1671255 , 0.153571
../instances/100_20_20 , 1803853 , 1802029 , 1800754 , 1804222 , 1796284 , -0.0189591
../instances/100_20_21 , 1714114 , 1714513 , 1720007 , 1709852 , 1718193 , 0.363684
../instances/100_20_22 , 1742932 , 1741280 , 1741777 , 1744187 , 1742295 , 0.0973231
../instances/100_20_23 , 1786766 , 1787732 , 1783960 , 1791577 , 1783464 , 0.56849
../instances/100_20_24 , 1704389 , 1704916 , 1707079 , 1704628 , 1701883 , 0.707133
../instances/100_20_25 , 1712943 , 1712956 , 1720805 , 1721942 , 1726533 , 0.305508
../instances/100_20_26 , 1575773 , 1574988 , 1567550 , 1569762 , 1564704 , 0.296018
../instances/100_20_27 , 1874267 , 1879239 , 1869663 , 1874592 , 1868343 , 0.593977
../instances/100_20_28 , 1745117 , 1736073 , 1741322 , 1740995 , 1740637 , 0.475519
../instances/100_20_29 , 2005680 , 2001146 , 2000171 , 1997480 , 2001693 , 0.451956
../instances/100_20_30 , 1772667 , 1776927 , 1769592 , 1776223 , 1777701 , 0.235646
../instances/50_20_01 , 596818 , 597593 , 596761 , 597573 , 596973 , 0.316433
../instances/50_20_02 , 622737 , 622444 , 622979 , 626049 , 623148 , 0.181476
../instances/50_20_03 , 593440 , 592616 , 594111 , 591930 , 593938 , 0.0779425
../instances/50_20_04 , 667397 , 667380 , 667519 , 667383 , 667991 , 0.136959
../instances/50_20_05 , 654277 , 654089 , 654434 , 654503 , 653837 , 0.0734228
../instances/50_20_06 , 644897 , 642055 , 643654 , 642055 , 644600 , 0.0245922
../instances/50_20_07 , 566376 , 566510 , 566342 , 567150 , 565375 , 0.172558
../instances/50_20_08 , 532495 , 530608 , 531677 , 530734 , 534059 , -0.0342795
../instances/50_20_09 , 572288 , 574299 , 574029 , 573625 , 575716 , 0.208521
../instances/50_20_10 , 601707 , 600011 , 601130 , 601239 , 600337 , 0.0166116
../instances/50_20_11 , 603860 , 603864 , 605231 , 605725 , 604289 , 0.0532542
../instances/50_20_12 , 583309 , 586087 , 585435 , 584278 , 584293 , 0.0824034
../instances/50_20_13 , 551930 , 553154 , 552482 , 551814 , 551457 , 0.0402939
../instances/50_20_14 , 574562 , 574528 , 573628 , 574526 , 574368 , 0.238832
../instances/50_20_15 , 595660 , 597232 , 596131 , 596230 , 596502 , 0.165108
../instances/50_20_16 , 551844 , 551619 , 551113 , 551281 , 551738 , 0.0500687
../instances/50_20_17 , 646805 , 646950 , 647168 , 644977 , 647470 , -0.0559474
../instances/50_20_18 , 631436 , 631272 , 632158 , 632241 , 632081 , 0.262081
../instances/50_20_19 , 465903 , 466369 , 465685 , 465786 , 465614 , 0.0780653
../instances/50_20_20 , 565557 , 565395 , 565610 , 565915 , 565951 , 0.0788338
../instances/50_20_21 , 620763 , 618618 , 618355 , 621310 , 618054 , 0.245183
../instances/50_20_22 , 645796 , 644583 , 644203 , 642934 , 643738 , 0.246598
../instances/50_20_23 , 605425 , 604425 , 603613 , 606153 , 604297 , 0.372857
../instances/50_20_24 , 552495 , 553601 , 553340 , 554130 , 553298 , 0.182815
../instances/50_20_25 , 588391 , 589686 , 588093 , 588917 , 588861 , 0.144164
../instances/50_20_26 , 603249 , 602887 , 602725 , 602573 , 601322 , 0.375681
../instances/50_20_27 , 564230 , 563379 , 563214 , 564514 , 563269 , -0.016814
../instances/50_20_28 , 549874 , 550893 , 551535 , 550040 , 551525 , 0.175406
../instances/50_20_29 , 544737 , 546190 , 544578 , 546190 , 545526 , 0.047727
../instances/50_20_30 , 510029 , 509505 , 510542 , 510701 , 509914 , 0.182282
