Instance , WCT_1 , WCT_2 , WCT_3 , WCT_4 , WCT_5 , Avg_RPD
../instances/100_20_01 , 1801785 , 1802201 , 1804458 , 1804994 , 1799188 , 0.58117
../instances/100_20_02 , 1821002 , 1821296 , 1827371 , 1825470 , 1821703 , 0.701866
../instances/100_20_03 , 1689919 , 1686389 , 1689513 , 1683888 , 1685185 , 0.422578
../instances/100_20_04 , 1958212 , 1951943 , 1961798 , 1956687 , 1960857 , 0.741937
../instances/100_20_05 , 1543294 , 1549395 , 1546993 , 1546155 , 1542271 , 0.424381
../instances/100_20_06 , 1667455 , 1673169 , 1676158 , 1670439 , 1664852 , 0.595268
../instances/100_20_07 , 1780776 , 1779303 , 1788277 , 1787609 , 1787439 , 0.0617186
../instances/100_20_08 , 1769633 , 1767676 , 1773175 , 1770469 , 1768559 , 0.879605
../instances/100_20_09 , 1856185 , 1852276 , 1859411 , 1849315 , 1854255 , 0.113833
../instances/100_20_10 , 1671409 , 1673453 , 1672724 , 1671538 , 1664821 , 0.645696
../instances/100_20_11 , 1827852 , 1828805 , 1830328 , 1832094 , 1828822 , 0.731168
../instances/100_20_12 , 1715432 , 1714349 , 1711560 , 1718777 , 1713134 , 0.177049
../instances/100_20_13 , 1725895 , 1719344 , 1728072 , 1725109 , 1727319 , 0.719149
../instances/100_20_14 , 1720137 , 1719265 , 1715769 , 1717421 , 1720074 , 0.537233
../instances/100_20_15 , 1458155 , 1454629 , 1460601 , 1458402 , 1460039 , 0.636598
../instances/100_20_16 , 1851959 , 1863467 , 1862075 , 1862236 , 1855035 , 0.629799
../instances/100_20_17 , 1770594 , 1782197 , 1780355 , 1774991 , 1786387 , 0.0705876
../instances/100_20_18 , 1829921 , 1831944 , 1829060 , 1829080 , 1829943 , 0.327827
../instances/100_20_19 , 1689983 , 1685802 , 1688963 , 1688999 , 1687548 , 0.748877
../instances/100_20_20 , 1806909 , 1808924 , 1806241 , 1803056 , 1809722 , 0.288627
../instances/100_20_21 , 1724848 , 1723321 , 1721409 , 1725321 , 1722909 , 0.844973
../instances/100_20_22 , 1757185 , 1747390 , 1755051 , 1752914 , 1747751 , 0.646726
../instances/100_20_23 , 1789357 , 1792622 , 1784179 , 1786055 , 1788333 , 0.647822
../instances/100_20_24 , 1712102 , 1708875 , 1711871 , 1710322 , 1712147 , 1.09023
../instances/100_20_25 , 1725666 , 1727825 , 1722054 , 1732034 , 1729272 , 0.791819
../instances/100_20_26 , 1574119 , 1573853 , 1571260 , 1567398 , 1569754 , 0.342086
../instances/100_20_27 , 1877132 , 1868160 , 1870120 , 1871427 , 1871880 , 0.51466
../instances/100_20_28 , 1750000 , 1747815 , 1750490 , 1746274 , 1749715 , 0.938987
../instances/100_20_29 , 2010483 , 2011098 , 2013147 , 2005124 , 2011730 , 0.907847
../instances/100_20_30 , 1775034 , 1784710 , 1778537 , 1777093 , 1781695 , 0.506301
../instances/50_20_01 , 598073 , 599523 , 595947 , 597737 , 596114 , 0.372745
../instances/50_20_02 , 623810 , 626953 , 623716 , 623267 , 623436 , 0.304399
../instances/50_20_03 , 593377 , 593780 , 593773 , 593715 , 594104 , 0.169516
../instances/50_20_04 , 667284 , 668747 , 668767 , 669213 , 667298 , 0.246137
../instances/50_20_05 , 656050 , 654730 , 657583 , 656875 , 657123 , 0.416705
../instances/50_20_06 , 644334 , 644369 , 644494 , 645858 , 645086 , 0.238491
../instances/50_20_07 , 566577 , 566059 , 565529 , 566828 , 567221 , 0.188866
../instances/50_20_08 , 533194 , 531444 , 533697 , 532330 , 533686 , 0.145312
../instances/50_20_09 , 573809 , 573955 , 574002 , 574491 , 573341 , 0.195986
../instances/50_20_10 , 601522 , 602575 , 600060 , 602110 , 602209 , 0.151502
../instances/50_20_11 , 605457 , 606884 , 604626 , 606382 , 606498 , 0.2809
../instances/50_20_12 , 584428 , 585247 , 586113 , 585763 , 584807 , 0.183602
../instances/50_20_13 , 553977 , 553870 , 552105 , 552656 , 554113 , 0.253504
../instances/50_20_14 , 574553 , 574402 , 575934 , 574219 , 574135 , 0.295765
../instances/50_20_15 , 598155 , 597863 , 596583 , 597327 , 596634 , 0.326588
../instances/50_20_16 , 551789 , 552711 , 552097 , 553405 , 553398 , 0.260684
../instances/50_20_17 , 648127 , 647732 , 646914 , 648233 , 646463 , 0.0707534
../instances/50_20_18 , 632182 , 631638 , 632160 , 631864 , 633269 , 0.323174
../instances/50_20_19 , 466190 , 466298 , 466477 , 465932 , 466213 , 0.153381
../instances/50_20_20 , 566845 , 567984 , 565739 , 566486 , 567181 , 0.284304
../instances/50_20_21 , 620548 , 619358 , 618883 , 620007 , 619320 , 0.278069
../instances/50_20_22 , 646560 , 644357 , 645256 , 643314 , 644756 , 0.339617
../instances/50_20_23 , 604080 , 603225 , 605152 , 604007 , 603858 , 0.253661
../instances/50_20_24 , 553648 , 553964 , 554520 , 553171 , 554665 , 0.295204
../instances/50_20_25 , 590223 , 590368 , 591087 , 592585 , 589141 , 0.465828
../instances/50_20_26 , 603511 , 602282 , 602235 , 603978 , 602664 , 0.43945
../instances/50_20_27 , 564654 , 564140 , 564983 , 564443 , 564395 , 0.125396
../instances/50_20_28 , 550631 , 550683 , 551296 , 550647 , 551939 , 0.22375
../instances/50_20_29 , 546115 , 546739 , 545025 , 545647 , 546490 , 0.150261
../instances/50_20_30 , 510409 , 510048 , 510541 , 510824 , 509762 , 0.217356
